ref,word,sourceid,synset_id,gloss,alternate_words
i7joqh2iwi_hiya.mp4,#all,,,,
ekya58fiyy_hiya.mp4,#hs,,,,
hqzbmjth0n_hiya.mp4,#no,,,,
a3jydh5rk4_hiya.mp4,(movie/tv) credits,9,,,
kbbmqpj9pi_hiya.mp4,(un)likely,9,301365171,"not likely to be true or to occur or to have occurred; ""legislation on the question is highly unlikely""; ""an improbable event""","improbable, unlikely"
grajqvif1h_hiya.mp4,0,9,112967124,a mathematical element that when added to another number yields the same number,"0, cipher, cypher, nought, zero"
1ffuztg7ke_hiya.mp4,1,,112967339,"the smallest whole number or a numeral representing this number; ""he has the one but will need a two and three to go with it""; ""they had lunch at one""","1, ace, one, single"
i55spwcwr4_hiya.mp4,1 hour,9,,,
z8yghpg7vd_hiya.mp4,1 million,76,,,
x2ygjs8abz_hiya.mp4,1 minute,9,,,
0dxnx0mz26_hiya.mp4,1 o'clock,9,,,
empwfzscll_hiya.mp4,1-10,104,302121290,being ten more than one hundred,"110, cx, one_hundred_ten"
mychp3l6le_hiya.mp4,10,76,302112222,being one more than nine,"10, ten"
jh5m6y1wge_hiya.mp4,100,76,302120926,being ten more than ninety,"100, a_hundred, hundred, one_hundred"
jku4kbdcg4_hiya.mp4,1000,76,302123603,"denoting a quantity consisting of 1,000 items or units","1000, a_thousand, one_thousand, thousand"
ypafypqq2t_hiya.mp4,100baset,108,,,
v5k9dxzlpw_hiya.mp4,10baset,108,,,
qwixzcqlla_hiya.mp4,11,,302112305,being one more than ten,"11, eleven"
b9xo7khacl_hiya.mp4,11 o'clock,9,,,
jy2tvjfhmf_hiya.mp4,11-20,104,,,
3tioht6cuh_hiya.mp4,1100,76,,,
c4uvwpmuvj_hiya.mp4,1122,76,,,
mseypsj5kh_hiya.mp4,1130,76,,,
eisu35cvcc_hiya.mp4,12,,302112391,denoting a quantity consisting of 12 items or units,"12, dozen, twelve"
p4na0wrq30_hiya.mp4,13,9,302112514,being one more than twelve,"13, thirteen"
lgm3kifima_hiya.mp4,1330,76,,,
ai5fdpjzqw_hiya.mp4,14,76,302112607,being one more than thirteen,"14, fourteen"
